date,home_team,away_team,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,avg_attendance,team,abbr,wins,losses,otl,game_num,gf,ga
2021-12-07,Buffalo Sabres,Anaheim Ducks,1429.13622700224,1470.16930235957,0.512901577436119,0.487098422563881,0,2,1425.21619208473,1474.08933727708,2,16,9,9997,Anaheim Ducks,ANA,14,8,5,27,89,78
2021-12-09,Columbus Blue Jackets,Anaheim Ducks,1476.73056719566,1474.08933727708,0.575182392831789,0.424817607168211,1,2,1473.87992583907,1476.93997863367,14,62,38,16237,Anaheim Ducks,ANA,15,8,5,28,91,79
2021-12-11,Pittsburgh Penguins,Anaheim Ducks,1538.64153363439,1476.93997863367,0.655432618080649,0.344567381919351,1,0,1540.21940468159,1475.36210758647,50,53,51,17684,Anaheim Ducks,ANA,15,9,5,29,91,80
2021-12-12,St. Louis Blues,Anaheim Ducks,1521.42435558429,1475.36210758647,0.634826407385888,0.365173592614112,2,3,1518.20819785699,1478.57826531377,37,77,57,17716,Anaheim Ducks,ANA,16,9,5,30,94,82
2021-12-15,Anaheim Ducks,Seattle Kraken,1478.57826531377,1468.12720427068,0.586128686882974,0.413871313117026,4,1,1482.29128710444,1464.41418248001,12,40,26,13083,Anaheim Ducks,ANA,17,9,5,31,98,83
2021-12-17,Anaheim Ducks,Arizona Coyotes,1482.29128710444,1425.49774222702,0.649024275679807,0.350975724320193,5,6,1478.98504177524,1428.80398755622,2,20,11,13083,Anaheim Ducks,ANA,17,9,6,32,103,89
2021-12-29,Anaheim Ducks,Vancouver Canucks,1478.98504177524,1480.05127118319,0.569959380241206,0.430040619758794,1,2,1476.1655195523,1482.87079340613,17,61,39,13083,Anaheim Ducks,ANA,17,9,7,33,104,91
2021-12-31,Vegas Golden Knights,Anaheim Ducks,1572.54364604504,1476.1655195523,0.699016779584461,0.300983220415539,3,1,1574.68131828789,1474.02784730945,70,28,49,18100,Anaheim Ducks,ANA,17,10,7,34,105,94
2022-01-02,Colorado Avalanche,Anaheim Ducks,1576.01947654686,1474.02784730945,0.705771353599153,0.294228646400847,4,2,1578.10384856097,1471.94347529534,71,21,46,17498,Anaheim Ducks,ANA,17,11,7,35,107,98
2022-01-04,Anaheim Ducks,Philadelphia Flyers,1471.94347529534,1471.73989146474,0.571750089042702,0.428249910957298,4,1,1475.80424009517,1467.87912666491,11,44,27,13083,Anaheim Ducks,ANA,18,11,7,36,111,99
