,abbr,winrate,type
0,CHI,0.23076923076923078,b2b
1,COL,0.7272727272727273,b2b
2,NJD,0.17647058823529413,b2b
3,PHI,0.1875,b2b
4,SEA,0.23076923076923078,b2b
5,TBL,0.8333333333333334,b2b
6,VAN,0.23076923076923078,b2b
0,CHI,0.36764705882352944,reg
1,COL,0.6714285714285714,reg
2,NJD,0.359375,reg
3,PHI,0.3384615384615385,reg
4,SEA,0.35294117647058826,reg
5,TBL,0.5942028985507246,reg
6,VAN,0.5441176470588235,reg
