,date,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,team,abbr,game_num,last_game_date,team_rating,opposing_team_rating,rating_diff,gf,ga,rest_days,game_outcome
0,2021-10-13,reg,Anaheim Ducks,Winnipeg Jets,ANA,WPG,1451.04455846372,1507.93883586214,0.490079639310323,0.509920360689677,0.242866633535293,1.10388837414032,1.1387555856975,4,1,1455.77007156903,1503.21332275683,16,51,33,Anaheim Ducks,ANA,1,,1451.04455846372,1507.93883586214,-56.894277398419945,4,1,nan,W
1,2021-10-15,reg,Anaheim Ducks,Minnesota Wild,ANA,MIN,1455.77007156903,1525.27321264935,0.471962167508677,0.528037832491323,0.240659741751351,1.07100178341966,1.16965795833169,1,2,1453.51253821143,1527.53074600695,27,56,41,Anaheim Ducks,ANA,2,2021-10-13,1455.77007156903,1525.27321264935,-69.50314108031989,1,2,2.0,L
2,2021-10-18,OT,Calgary Flames,Anaheim Ducks,CGY,ANA,1498.12608024257,1453.51253821143,0.632890982330375,0.367109017669625,0.227798983765832,1.34940902581716,0.878389957948668,2,3,1494.92210328743,1456.71651516657,14,54,34,Anaheim Ducks,ANA,3,2021-10-15,1453.51253821143,1498.12608024257,-44.613542031140014,3,2,3.0,W
3,2021-10-19,reg,Edmonton Oilers,Anaheim Ducks,EDM,ANA,1521.55740517116,1456.71651516657,0.659502348196964,0.340497651803036,0.224419557643939,1.39541902879037,0.829000528853574,6,5,1523.11437866084,1455.15954167689,26,54,40,Anaheim Ducks,ANA,4,2021-10-18,1456.71651516657,1521.55740517116,-64.84089000459016,5,6,1.0,L
4,2021-10-21,reg,Winnipeg Jets,Anaheim Ducks,WPG,ANA,1499.0464068599,1455.15954167689,0.631918544519313,0.368081455480687,0.227921056282215,1.34773060316968,0.880190453112536,5,1,1502.7033139475,1451.50263458929,15,52,33,Anaheim Ducks,ANA,5,2021-10-19,1455.15954167689,1499.0464068599,-43.88686518300983,1,5,2.0,L
5,2021-10-23,OT,Minnesota Wild,Anaheim Ducks,MIN,ANA,1531.71800687643,1451.50263458929,0.679087162829637,0.320912837170363,0.221874841504289,1.42937681054314,0.79249803096115,4,3,1533.17507806859,1450.04556339713,28,23,25,Anaheim Ducks,ANA,6,2021-10-21,1451.50263458929,1531.71800687643,-80.2153722871401,3,4,2.0,OTL
6,2021-10-26,reg,Anaheim Ducks,Winnipeg Jets,ANA,WPG,1450.04556339713,1505.91151503453,0.491559019034328,0.508440980965672,0.243047223239993,1.10669320667378,1.13635401656621,3,4,1447.67869585506,1508.2783825766,15,51,33,Anaheim Ducks,ANA,7,2021-10-23,1450.04556339713,1505.91151503453,-55.86595163740003,3,4,3.0,L
7,2021-10-28,OT,Anaheim Ducks,Buffalo Sabres,ANA,BUF,1447.67869585506,1459.8713301971,0.554195424387251,0.445804575612749,0.237480462760924,1.21426072569195,1.02321973706897,3,4,1444.95231539814,1462.59771065402,3,28,15,Anaheim Ducks,ANA,8,2021-10-26,1447.67869585506,1459.8713301971,-12.192634342040037,3,4,2.0,OTL
8,2021-10-29,SO,Vegas Golden Knights,Anaheim Ducks,VEG,ANA,1548.82481859952,1444.95231539814,0.7080146860619,0.2919853139381,0.217999643995101,1.4796820666141,0.738317577380998,5,4,1550.13631656407,1443.64081743359,34,20,27,Anaheim Ducks,ANA,9,2021-10-28,1444.95231539814,1548.82481859952,-103.87250320138014,4,5,1.0,OTL
9,2021-10-31,reg,Anaheim Ducks,Montreal Canadiens,ANA,MTL,1443.64081743359,1481.96785752515,0.516792421772054,0.483207578227946,0.242028620353368,1.15053490704691,1.09149371330646,4,2,1447.29693291818,1478.31174204056,6,18,12,Anaheim Ducks,ANA,10,2021-10-29,1443.64081743359,1481.96785752515,-38.32704009156009,4,2,2.0,W
