,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
464,OT,Dallas Stars,Chicago Blackhawks,DAL,CHI,4,3,1,-1,1284.02
465,,Detroit Red Wings,New Jersey Devils,DET,NJD,5,2,3,-3,760.33
466,,Seattle Kraken,Edmonton Oilers,SEA,EDM,3,5,-2,2,835.11
467,SO,New York Islanders,Vegas Golden Knights,NYI,VEG,3,4,-1,1,3540.03
468,,Winnipeg Jets,St. Louis Blues,WPG,STL,4,2,2,-2,1367.81
469,,New Jersey Devils,Pittsburgh Penguins,NJD,PIT,2,3,-1,1,492.3
470,,Washington Capitals,Los Angeles Kings,WSH,LAK,2,3,-1,1,3695.83
471,,Dallas Stars,Minnesota Wild,DAL,MIN,7,4,3,-3,1388.69
472,,Vegas Golden Knights,Tampa Bay Lightning,VEG,TBL,3,4,-1,1,3233.2
473,OT,Tampa Bay Lightning,Montreal Canadiens,TBL,MTL,5,4,1,-1,2506.33
474,SO,San Jose Sharks,Arizona Coyotes,SJS,ARI,8,7,1,-1,969.59
475,,Los Angeles Kings,Vegas Golden Knights,LAK,VEG,3,6,-3,3,529.87
476,,Florida Panthers,New York Rangers,FLA,NYR,4,3,1,-1,1724.36
477,,Washington Capitals,Nashville Predators,WSH,NSH,5,3,2,-2,914.94
478,,Buffalo Sabres,New Jersey Devils,BUF,NJD,3,4,-1,1,456.84
479,,St. Louis Blues,Edmonton Oilers,STL,EDM,4,2,2,-2,2364.74
480,OT,Seattle Kraken,Philadelphia Flyers,SEA,PHI,2,3,-1,1,3823.0
481,OT,Anaheim Ducks,Vancouver Canucks,ANA,VAN,1,2,-1,1,1755.15
482,,Carolina Hurricanes,Montreal Canadiens,CAR,MTL,4,0,4,-4,1571.76
483,SO,Columbus Blue Jackets,Nashville Predators,CBJ,NSH,4,3,1,-1,538.86
484,,Florida Panthers,Tampa Bay Lightning,FLA,TBL,9,3,6,-6,289.3
485,,New York Islanders,Buffalo Sabres,NYI,BUF,4,1,3,-3,489.84
486,,Seattle Kraken,Calgary Flames,SEA,CGY,4,6,-2,2,710.82
487,SO,Los Angeles Kings,Vancouver Canucks,LAK,VAN,2,1,1,-1,1740.18
488,OT,San Jose Sharks,Philadelphia Flyers,SJS,PHI,3,2,1,-1,4023.49
489,OT,New Jersey Devils,Edmonton Oilers,NJD,EDM,6,5,1,-1,3226.62
490,,Vegas Golden Knights,Anaheim Ducks,VEG,ANA,3,1,2,-2,582.02
491,SO,Tampa Bay Lightning,New York Rangers,TBL,NYR,3,4,-1,1,1620.13
492,,Detroit Red Wings,Washington Capitals,DET,WSH,1,3,-2,2,636.84
493,,Florida Panthers,Montreal Canadiens,FLA,MTL,5,2,3,-3,2652.24
494,,Columbus Blue Jackets,Carolina Hurricanes,CBJ,CAR,4,7,-3,3,596.44
495,OT,Boston Bruins,Buffalo Sabres,BOS,BUF,4,3,1,-1,641.64
496,,Nashville Predators,Chicago Blackhawks,NSH,CHI,6,1,5,-5,642.16
497,OT,New York Islanders,Edmonton Oilers,NYI,EDM,3,2,1,-1,3257.8
498,,Minnesota Wild,St. Louis Blues,MIN,STL,4,6,-2,2,742.37
499,,Toronto Maple Leafs,Ottawa Senators,TOR,OTT,6,0,6,-6,329.86
500,,Seattle Kraken,Vancouver Canucks,SEA,VAN,2,5,-3,3,192.35
501,,Los Angeles Kings,Philadelphia Flyers,LAK,PHI,6,3,3,-3,3845.68
502,,New York Rangers,Tampa Bay Lightning,NYR,TBL,4,0,4,-4,1620.13
503,,Detroit Red Wings,Boston Bruins,DET,BOS,1,5,-4,4,984.67
504,,Pittsburgh Penguins,San Jose Sharks,PIT,SJS,8,5,3,-3,3610.03
505,OT,Washington Capitals,New Jersey Devils,WSH,NJD,3,4,-1,1,317.63
506,,Colorado Avalanche,Anaheim Ducks,COL,ANA,4,2,2,-2,1398.51
507,OT,Vegas Golden Knights,Winnipeg Jets,VEG,WPG,4,5,-1,1,1939.98
508,,Chicago Blackhawks,Calgary Flames,CHI,CGY,1,5,-4,4,2235.78
509,,New York Rangers,Edmonton Oilers,NYR,EDM,4,1,3,-3,3237.36
510,,Florida Panthers,Calgary Flames,FLA,CGY,6,2,4,-4,3968.35
511,,Columbus Blue Jackets,Tampa Bay Lightning,CBJ,TBL,2,7,-5,5,1338.26
512,,Boston Bruins,New Jersey Devils,BOS,NJD,5,3,2,-2,316.02
513,,Detroit Red Wings,San Jose Sharks,DET,SJS,6,2,4,-4,3333.64
514,OT,Chicago Blackhawks,Colorado Avalanche,CHI,COL,3,4,-1,1,1462.81
515,,Arizona Coyotes,Winnipeg Jets,ARI,WPG,1,3,-2,2,2200.88
516,,Vegas Golden Knights,Nashville Predators,VEG,NSH,2,3,-1,1,2514.19
517,,Anaheim Ducks,Philadelphia Flyers,ANA,PHI,4,1,3,-3,3907.66
518,,Toronto Maple Leafs,Edmonton Oilers,TOR,EDM,4,2,2,-2,2689.58
519,,Pittsburgh Penguins,St. Louis Blues,PIT,STL,5,3,2,-2,898.22
520,,Boston Bruins,Minnesota Wild,BOS,MIN,2,3,-1,1,1790.33
521,,New Jersey Devils,Columbus Blue Jackets,NJD,CBJ,3,1,2,-2,753.16
522,,Tampa Bay Lightning,Calgary Flames,TBL,CGY,4,1,3,-3,3683.25
523,,Philadelphia Flyers,Pittsburgh Penguins,PHI,PIT,2,6,-4,4,413.61
524,,Buffalo Sabres,San Jose Sharks,BUF,SJS,2,3,-1,1,3670.1
525,SO,Dallas Stars,Florida Panthers,DAL,FLA,6,5,1,-1,1755.14
526,,Arizona Coyotes,Chicago Blackhawks,ARI,CHI,6,4,2,-2,2331.11
527,,Colorado Avalanche,Winnipeg Jets,COL,WPG,7,1,6,-6,1285.59
528,,Vegas Golden Knights,New York Rangers,VEG,NYR,5,1,4,-4,3517.19
529,,Los Angeles Kings,Nashville Predators,LAK,NSH,2,4,-2,2,2858.76
530,,Carolina Hurricanes,Calgary Flames,CAR,CGY,6,3,3,-3,3272.73
531,,St. Louis Blues,Washington Capitals,STL,WSH,5,1,4,-4,1142.28
532,,Dallas Stars,Pittsburgh Penguins,DAL,PIT,3,2,1,-1,1721.23
533,OT,Philadelphia Flyers,San Jose Sharks,PHI,SJS,2,3,-1,1,4023.49
534,OT,Colorado Avalanche,Toronto Maple Leafs,COL,TOR,5,4,1,-1,2162.35
535,,Tampa Bay Lightning,Boston Bruins,TBL,BOS,2,5,-3,3,1905.03
536,,Columbus Blue Jackets,New Jersey Devils,CBJ,NJD,4,3,1,-1,753.16
537,OT,Carolina Hurricanes,Florida Panthers,CAR,FLA,3,4,-1,1,1083.26
538,SO,Minnesota Wild,Washington Capitals,MIN,WSH,3,2,1,-1,1487.0
539,,Arizona Coyotes,Nashville Predators,ARI,NSH,2,4,-2,2,2333.98
540,,Anaheim Ducks,New York Rangers,ANA,NYR,1,4,-3,3,4000.93
541,,Vegas Golden Knights,Chicago Blackhawks,VEG,CHI,1,2,-1,1,2357.47
542,,Los Angeles Kings,Detroit Red Wings,LAK,DET,4,0,4,-4,3187.1
543,,St. Louis Blues,Dallas Stars,STL,DAL,2,1,1,-1,881.0
544,SO,Anaheim Ducks,Detroit Red Wings,ANA,DET,4,3,1,-1,3249.06
545,,Washington Capitals,Boston Bruins,WSH,BOS,3,7,-4,4,633.43
546,,Colorado Avalanche,Seattle Kraken,COL,SEA,4,3,1,-1,1641.17
547,,Los Angeles Kings,New York Rangers,LAK,NYR,3,1,2,-2,3938.91
548,,Buffalo Sabres,Tampa Bay Lightning,BUF,TBL,1,6,-5,5,1691.27
549,,Florida Panthers,Vancouver Canucks,FLA,VAN,5,2,3,-3,4469.18
550,,Columbus Blue Jackets,Chicago Blackhawks,CBJ,CHI,2,4,-2,2,457.09
551,OT,Nashville Predators,Colorado Avalanche,NSH,COL,5,4,1,-1,1641.33
552,SO,Vegas Golden Knights,Toronto Maple Leafs,VEG,TOR,3,4,-1,1,3047.72
553,,Anaheim Ducks,Pittsburgh Penguins,ANA,PIT,1,4,-3,3,3496.33
554,OT,San Jose Sharks,Detroit Red Wings,SJS,DET,3,2,1,-1,3333.64
555,,Boston Bruins,Montreal Canadiens,BOS,MTL,5,1,4,-4,808.87
556,,Dallas Stars,Seattle Kraken,DAL,SEA,5,2,3,-3,2703.64
557,,Arizona Coyotes,Toronto Maple Leafs,ARI,TOR,2,1,1,-1,3046.59
558,,Carolina Hurricanes,Columbus Blue Jackets,CAR,CBJ,0,6,-6,6,596.44
559,,Boston Bruins,Philadelphia Flyers,BOS,PHI,3,2,1,-1,439.91
560,,Tampa Bay Lightning,Vancouver Canucks,TBL,VAN,4,2,2,-2,4180.25
561,,Detroit Red Wings,Winnipeg Jets,DET,WPG,0,3,-3,3,1368.95
562,,New York Islanders,New Jersey Devils,NYI,NJD,3,2,1,-1,37.49
563,,Nashville Predators,Buffalo Sabres,NSH,BUF,1,4,-3,3,1009.51
564,,St. Louis Blues,Seattle Kraken,STL,SEA,2,1,1,-1,2770.19
565,OT,Chicago Blackhawks,Montreal Canadiens,CHI,MTL,3,2,1,-1,1386.17
566,,Calgary Flames,Ottawa Senators,CGY,OTT,1,4,-3,3,2864.39
567,,San Jose Sharks,New York Rangers,SJS,NYR,0,3,-3,3,4103.54
568,,Los Angeles Kings,Pittsburgh Penguins,LAK,PIT,6,2,4,-4,3434.33
569,,Florida Panthers,Dallas Stars,FLA,DAL,7,1,6,-6,1755.14
570,,Minnesota Wild,Anaheim Ducks,MIN,ANA,7,3,4,-4,2522.21
571,SO,Colorado Avalanche,Arizona Coyotes,COL,ARI,4,3,1,-1,946.27
572,,Carolina Hurricanes,Vancouver Canucks,CAR,VAN,4,1,3,-3,3865.86
573,OT,Boston Bruins,Nashville Predators,BOS,NSH,4,3,1,-1,1518.19
574,,New York Islanders,Washington Capitals,NYI,WSH,0,2,-2,2,346.17
575,,Florida Panthers,Columbus Blue Jackets,FLA,CBJ,9,2,7,-7,1555.67
576,,Philadelphia Flyers,New York Rangers,PHI,NYR,2,3,-1,1,137.47
577,,St. Louis Blues,Toronto Maple Leafs,STL,TOR,5,6,-1,1,1063.02
578,,Tampa Bay Lightning,Dallas Stars,TBL,DAL,3,1,2,-2,1477.63
579,,Detroit Red Wings,Buffalo Sabres,DET,BUF,4,0,4,-4,347.05
580,,Chicago Blackhawks,Anaheim Ducks,CHI,ANA,3,0,3,-3,2852.43
581,,Arizona Coyotes,Colorado Avalanche,ARI,COL,0,5,-5,5,946.27
582,,Seattle Kraken,Los Angeles Kings,SEA,LAK,1,3,-2,2,1547.98
583,,Edmonton Oilers,Ottawa Senators,EDM,OTT,4,6,-2,2,2825.06
584,OT,San Jose Sharks,Pittsburgh Penguins,SJS,PIT,1,2,-1,1,3610.03
585,,Washington Capitals,Vancouver Canucks,WSH,VAN,2,4,-2,2,3791.93
586,OT,Buffalo Sabres,Detroit Red Wings,BUF,DET,2,3,-1,1,347.05
587,SO,Colorado Avalanche,Minnesota Wild,COL,MIN,4,3,1,-1,1134.64
588,,San Jose Sharks,Los Angeles Kings,SJS,LAK,6,2,4,-4,491.36
589,,Arizona Coyotes,Montreal Canadiens,ARI,MTL,5,2,3,-3,3621.28
590,SO,Seattle Kraken,Chicago Blackhawks,SEA,CHI,3,2,1,-1,2775.82
591,,New York Islanders,Philadelphia Flyers,NYI,PHI,4,1,3,-3,152.12
592,,St. Louis Blues,Nashville Predators,STL,NSH,5,3,2,-2,406.14
593,,Vegas Golden Knights,Pittsburgh Penguins,VEG,PIT,3,5,-2,2,3020.26
594,SO,Philadelphia Flyers,New York Islanders,PHI,NYI,3,4,-1,1,152.12
595,,Boston Bruins,Carolina Hurricanes,BOS,CAR,1,7,-6,6,983.85
596,OT,Washington Capitals,Winnipeg Jets,WSH,WPG,4,3,1,-1,2001.83
597,,Ottawa Senators,Buffalo Sabres,OTT,BUF,1,3,-2,2,357.74
598,,Nashville Predators,Vancouver Canucks,NSH,VAN,1,3,-2,2,3262.87
599,,Dallas Stars,Montreal Canadiens,DAL,MTL,3,5,-2,2,2665.28
600,,Calgary Flames,Florida Panthers,CGY,FLA,5,1,4,-4,3968.35
601,,Los Angeles Kings,Tampa Bay Lightning,LAK,TBL,4,6,-2,2,3462.47
602,,New Jersey Devils,Arizona Coyotes,NJD,ARI,1,4,-3,3,3441.73
603,,New York Rangers,Toronto Maple Leafs,NYR,TOR,6,3,3,-3,547.8
604,,Anaheim Ducks,Colorado Avalanche,ANA,COL,0,2,-2,2,1398.51
605,,Boston Bruins,Washington Capitals,BOS,WSH,4,3,1,-1,633.43
606,,Philadelphia Flyers,Columbus Blue Jackets,PHI,CBJ,1,2,-1,1,667.78
607,,Pittsburgh Penguins,Ottawa Senators,PIT,OTT,6,4,2,-2,633.3
608,,Buffalo Sabres,Dallas Stars,BUF,DAL,4,5,-1,1,1926.74
609,,Nashville Predators,Winnipeg Jets,NSH,WPG,5,2,3,-3,1739.04
610,,Edmonton Oilers,Florida Panthers,EDM,FLA,0,6,-6,6,4026.49
611,,Los Angeles Kings,Colorado Avalanche,LAK,COL,1,4,-3,3,1336.98
612,,Seattle Kraken,San Jose Sharks,SEA,SJS,3,2,1,-1,1144.71
