,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
703,,Dallas Stars,Calgary Flames,DAL,CGY,3,4,-1,1,2467.03
704,SO,Colorado Avalanche,Arizona Coyotes,COL,ARI,2,3,-1,1,946.27
705,,Vegas Golden Knights,Buffalo Sabres,VEG,BUF,5,2,3,-3,3090.89
706,,New York Islanders,Seattle Kraken,NYI,SEA,0,3,-3,3,3887.74
707,,Washington Capitals,Edmonton Oilers,WSH,EDM,3,5,-2,2,3165.99
708,,Detroit Red Wings,Los Angeles Kings,DET,LAK,3,5,-2,2,3187.1
709,,Chicago Blackhawks,Minnesota Wild,CHI,MIN,0,5,-5,5,545.48
710,,Arizona Coyotes,Calgary Flames,ARI,CGY,2,4,-2,2,1951.97
711,,Ottawa Senators,New Jersey Devils,OTT,NJD,4,1,3,-3,527.09
712,OT,Toronto Maple Leafs,Carolina Hurricanes,TOR,CAR,4,3,1,-1,873.57
